sample_id,elapsed_s,time_label,sensory_label,nh3_ppm,h2s_ppm,temperature,humidity,pressure,gas_resistance,s_nh3,s_h2s,s_bme,i_nh3,i_h2s,i_bme,note,nh3_delta,h2s_delta,gas_drop_pct
pork20C_G24,0.000,early_spoilage,slight_sour,5.98,0,20.2,46.5,989.6,26244,2,0,9,0,0,6,,5.940,0.0,74.321
pork20C_G24,0.712,early_spoilage,slight_sour,5.85,0,20.2,46.5,989.6,26267,2,0,9,0,0,6,,5.810,0.0,74.299
pork20C_G24,1.440,early_spoilage,slight_sour,5.84,0,20.1,46.5,989.6,26250,2,0,9,0,0,6,,5.800,0.0,74.316
pork20C_G24,2.077,early_spoilage,slight_sour,5.87,0,20.1,46.6,989.6,26392,2,0,9,0,0,6,,5.830,0.0,74.177
pork20C_G24,2.861,early_spoilage,slight_sour,5.78,0,20.1,46.7,989.6,26601,2,0,9,0,0,6,,5.740,0.0,73.972
pork20C_G24,3.601,early_spoilage,slight_sour,5.81,0,20.1,46.7,989.6,26761,2,0,9,0,0,6,,5.770,0.0,73.816
pork20C_G24,4.357,early_spoilage,slight_sour,5.69,0,20.1,46.8,989.6,26661,2,0,9,0,0,6,,5.650,0.0,73.913
pork20C_G24,5.205,early_spoilage,slight_sour,5.62,0,20.2,46.8,989.6,26625,2,0,9,0,0,6,,5.580,0.0,73.949
pork20C_G24,5.879,early_spoilage,slight_sour,5.48,0,20.1,46.9,989.6,26706,2,0,9,0,0,6,,5.440,0.0,73.869
pork20C_G24,6.486,early_spoilage,slight_sour,5.59,0,20.2,46.9,989.6,26822,2,0,9,0,0,6,,5.550,0.0,73.756
pork20C_G24,7.210,early_spoilage,slight_sour,5.47,0,20.2,47.0,989.6,26923,2,0,9,0,0,6,,5.430,0.0,73.657
pork20C_G24,7.961,early_spoilage,slight_sour,5.40,0,20.2,47.1,989.6,26943,2,0,9,0,0,6,,5.360,0.0,73.637
pork20C_G24,8.863,early_spoilage,slight_sour,5.37,0,20.2,47.2,989.6,27042,2,0,9,0,0,6,,5.330,0.0,73.541
pork20C_G24,9.813,early_spoilage,slight_sour,5.42,0,20.2,47.2,989.6,26924,2,0,9,0,0,6,,5.380,0.0,73.656
pork20C_G24,10.403,early_spoilage,slight_sour,5.59,0,20.1,47.2,989.6,26998,2,0,9,0,0,6,,5.550,0.0,73.584
pork20C_G24,11.143,early_spoilage,slight_sour,5.49,0,20.2,47.5,989.6,27016,2,0,9,0,0,6,,5.450,0.0,73.566
pork20C_G24,11.882,early_spoilage,slight_sour,5.64,0,20.2,47.5,989.6,27013,2,0,9,0,0,6,,5.600,0.0,73.569
pork20C_G24,12.700,early_spoilage,slight_sour,5.56,0,20.3,47.7,989.6,26881,2,0,9,0,0,6,,5.520,0.0,73.698
pork20C_G24,13.686,early_spoilage,slight_sour,5.43,0,20.2,47.6,989.6,26871,2,0,9,0,0,6,,5.390,0.0,73.708
pork20C_G24,14.404,early_spoilage,slight_sour,5.45,0,20.2,47.6,989.6,26802,2,0,9,0,0,6,,5.410,0.0,73.775
pork20C_G24,15.171,early_spoilage,slight_sour,5.48,0,20.2,47.8,989.6,26679,2,0,9,0,0,6,,5.440,0.0,73.896
pork20C_G24,15.894,early_spoilage,slight_sour,5.38,0,20.2,47.9,989.6,26503,2,0,9,0,0,7,,5.340,0.0,74.068
pork20C_G24,16.640,early_spoilage,slight_sour,5.57,0,20.2,47.9,989.6,26420,2,0,9,0,0,6,,5.530,0.0,74.149
pork20C_G24,17.385,early_spoilage,slight_sour,5.53,0,20.2,47.9,989.6,26170,2,0,9,0,0,7,,5.490,0.0,74.394
pork20C_G24,18.335,early_spoilage,slight_sour,5.34,0,20.1,47.9,989.6,26021,2,0,9,0,0,7,,5.300,0.0,74.540
pork20C_G24,19.048,early_spoilage,slight_sour,5.40,0,20.2,47.9,989.6,25842,2,0,9,0,0,7,,5.360,0.0,74.715
pork20C_G24,19.763,early_spoilage,slight_sour,5.45,0,20.2,48.0,989.6,25761,2,0,9,0,0,7,,5.410,0.0,74.794
pork20C_G24,20.587,early_spoilage,slight_sour,5.46,0,20.3,48.0,989.6,25551,2,0,9,0,0,7,,5.420,0.0,75.000
pork20C_G24,21.311,early_spoilage,slight_sour,5.35,0,20.2,48.1,989.6,25366,2,0,9,0,0,7,,5.310,0.0,75.181
pork20C_G24,21.960,early_spoilage,slight_sour,5.39,0,20.2,48.1,989.6,25199,2,0,9,0,0,7,,5.350,0.0,75.344
pork20C_G24,22.666,early_spoilage,slight_sour,5.42,0,20.2,48.1,989.6,24975,2,0,9,0,0,7,,5.380,0.0,75.563
pork20C_G24,23.370,early_spoilage,slight_sour,5.42,0,20.1,48.2,989.6,24708,2,0,9,0,0,7,,5.380,0.0,75.824
pork20C_G24,24.127,early_spoilage,slight_sour,5.35,0,20.2,48.2,989.6,24431,2,0,9,0,0,7,,5.310,0.0,76.095
pork20C_G24,25.061,early_spoilage,slight_sour,5.47,0,20.2,48.2,989.6,24196,2,0,9,0,0,7,,5.430,0.0,76.325
