sample_id,elapsed_s,time_label,sensory_label,nh3_ppm,h2s_ppm,temperature,humidity,pressure,gas_resistance,s_nh3,s_h2s,s_bme,i_nh3,i_h2s,i_bme,note,nh3_delta,h2s_delta,gas_drop_pct
pork20C_G13,0.000,fresh,none,2.53,0,19.9,64.1,992.2,74375,1,0,2,0,0,2,,2.490,0.0,17.361
pork20C_G13,0.750,fresh,none,2.72,0,19.8,64.1,992.2,74315,1,0,2,0,0,2,,2.680,0.0,17.428
pork20C_G13,1.478,fresh,none,2.66,0,19.9,64.1,992.2,74475,1,0,2,0,0,2,,2.620,0.0,17.250
pork20C_G13,2.122,fresh,none,2.71,0,20.0,64.1,992.2,74435,1,0,2,0,0,2,,2.670,0.0,17.294
pork20C_G13,2.883,fresh,none,2.61,0,19.9,64.1,992.2,74440,1,0,2,0,0,2,,2.570,0.0,17.289
pork20C_G13,3.697,fresh,none,2.54,0,19.9,64.1,992.2,74262,1,0,2,0,0,2,,2.500,0.0,17.487
pork20C_G13,4.682,fresh,none,2.39,0,19.9,64.0,992.2,74860,1,0,2,0,0,2,,2.350,0.0,16.822
pork20C_G13,5.400,fresh,none,2.48,0,19.9,64.0,992.2,74817,1,0,2,0,0,2,,2.440,0.0,16.870
pork20C_G13,6.016,fresh,none,2.48,0,19.8,64.0,992.2,74793,1,0,2,0,0,2,,2.440,0.0,16.897
pork20C_G13,6.663,fresh,none,2.67,0,20.0,64.0,992.2,74722,1,0,2,0,0,2,,2.630,0.0,16.976
pork20C_G13,7.342,fresh,none,2.63,0,20.0,64.1,992.2,74830,1,0,2,0,0,2,,2.590,0.0,16.856
pork20C_G13,8.186,fresh,none,2.53,0,20.0,64.2,992.2,73732,1,0,2,0,0,2,,2.490,0.0,18.076
pork20C_G13,8.984,fresh,none,2.55,0,19.9,64.1,992.2,74304,1,0,2,0,0,2,,2.510,0.0,17.440
pork20C_G13,9.632,fresh,none,2.44,0,20.0,64.1,992.2,74433,1,0,2,0,0,2,,2.400,0.0,17.297
pork20C_G13,10.458,fresh,none,2.44,0,19.9,64.2,992.2,74075,1,0,2,0,0,2,,2.400,0.0,17.694
pork20C_G13,11.159,fresh,none,2.39,0,19.9,64.3,992.2,73701,1,0,2,0,0,2,,2.350,0.0,18.110
pork20C_G13,11.788,fresh,none,2.42,0,20.0,64.3,992.2,74093,1,0,2,0,0,2,,2.380,0.0,17.674
pork20C_G13,12.717,fresh,none,2.42,0,20.0,64.2,992.2,73967,1,0,2,0,0,2,,2.380,0.0,17.814
pork20C_G13,13.316,fresh,none,2.36,0,20.0,64.3,992.2,74541,1,0,2,0,0,2,,2.320,0.0,17.177
pork20C_G13,14.012,fresh,none,2.32,0,20.0,64.3,992.2,74506,1,0,2,0,0,2,,2.280,0.0,17.216
pork20C_G13,14.692,fresh,none,2.33,0,20.0,64.3,992.2,74240,1,0,2,0,0,2,,2.290,0.0,17.511
