sample_id,elapsed_s,time_label,sensory_label,nh3_ppm,h2s_ppm,temperature,humidity,pressure,gas_resistance,s_nh3,s_h2s,s_bme,i_nh3,i_h2s,i_bme,note,nh3_delta,h2s_delta,gas_drop_pct
pork20C_G29,0.000,spoiled,strong_pungent,6.40,0,19.9,50.2,989.5,36426,3,0,8,0,0,5,,6.360,0.0,63.600
pork20C_G29,0.834,spoiled,strong_pungent,6.38,0,19.9,50.2,989.5,36736,3,0,8,0,0,5,,6.340,0.0,63.291
pork20C_G29,1.621,spoiled,strong_pungent,6.33,0,19.9,50.1,989.5,37109,3,0,8,0,0,5,,6.290,0.0,62.918
pork20C_G29,2.264,spoiled,strong_pungent,6.14,0,19.9,50.0,989.5,37274,3,0,8,0,0,5,,6.100,0.0,62.753
pork20C_G29,2.907,spoiled,strong_pungent,6.16,0,19.9,50.0,989.5,37459,3,0,8,0,0,5,,6.120,0.0,62.568
pork20C_G29,3.616,spoiled,strong_pungent,6.28,0,19.9,50.0,989.5,37101,3,0,8,0,0,5,,6.240,0.0,62.926
pork20C_G29,4.433,spoiled,strong_pungent,6.38,0,20.0,49.9,989.5,37820,3,0,7,0,0,5,,6.340,0.0,62.207
pork20C_G29,5.366,spoiled,strong_pungent,6.40,0,20.0,49.9,989.5,38311,3,0,7,0,0,5,,6.360,0.0,61.717
pork20C_G29,5.990,spoiled,strong_pungent,6.34,0,19.9,49.8,989.5,38344,3,0,7,0,0,5,,6.300,0.0,61.684
pork20C_G29,6.643,spoiled,strong_pungent,6.30,0,19.9,49.8,989.5,38355,3,0,7,0,0,5,,6.260,0.0,61.673
pork20C_G29,7.496,spoiled,strong_pungent,6.39,0,19.9,49.7,989.5,38522,3,0,7,0,0,5,,6.350,0.0,61.506
pork20C_G29,8.068,spoiled,strong_pungent,6.41,0,19.9,49.8,989.5,39154,3,0,7,0,0,5,,6.370,0.0,60.874
pork20C_G29,8.807,spoiled,strong_pungent,6.40,0,19.9,49.7,989.5,38234,3,0,7,0,0,5,,6.360,0.0,61.794
pork20C_G29,9.569,spoiled,strong_pungent,6.28,0,19.8,49.7,989.5,38327,3,0,7,0,0,5,,6.240,0.0,61.701
pork20C_G29,10.259,spoiled,strong_pungent,6.45,0,19.8,49.6,989.5,39242,3,0,7,0,0,5,,6.410,0.0,60.786
pork20C_G29,10.858,spoiled,strong_pungent,6.48,0,19.9,49.6,989.5,40010,3,0,7,0,0,5,,6.440,0.0,60.019
pork20C_G29,11.642,spoiled,strong_pungent,6.39,0,19.9,49.5,989.5,40412,3,0,7,0,0,5,,6.350,0.0,59.617
pork20C_G29,12.227,spoiled,strong_pungent,6.34,0,19.9,49.4,989.5,40179,3,0,7,0,0,5,,6.300,0.0,59.850
pork20C_G29,13.038,spoiled,strong_pungent,6.26,0,19.9,49.5,989.5,39761,3,0,7,0,0,5,,6.220,0.0,60.268
pork20C_G29,13.717,spoiled,strong_pungent,6.27,0,19.9,49.4,989.5,40106,3,0,7,0,0,5,,6.230,0.0,59.923
pork20C_G29,14.575,spoiled,strong_pungent,6.18,0,19.9,49.4,989.5,40421,3,0,7,0,0,5,,6.140,0.0,59.608
pork20C_G29,15.260,spoiled,strong_pungent,6.10,0,19.9,49.3,989.5,40773,3,0,7,0,0,5,,6.060,0.0,59.256
pork20C_G29,16.030,spoiled,strong_pungent,6.22,0,19.8,49.3,989.5,40485,3,0,7,0,0,5,,6.180,0.0,59.544
pork20C_G29,16.590,spoiled,strong_pungent,6.23,0,19.8,49.2,989.5,40402,3,0,7,0,0,5,,6.190,0.0,59.627
pork20C_G29,17.305,spoiled,strong_pungent,6.20,0,19.8,49.2,989.5,41075,3,0,7,0,0,5,,6.160,0.0,58.955
pork20C_G29,18.104,spoiled,strong_pungent,6.23,0,19.8,49.2,989.5,40693,3,0,7,0,0,5,,6.190,0.0,59.336
pork20C_G29,18.756,spoiled,strong_pungent,6.08,0,19.8,49.2,989.5,40652,3,0,7,0,0,5,,6.040,0.0,59.377
pork20C_G29,19.513,spoiled,strong_pungent,6.06,0,19.8,49.3,989.6,40997,3,0,7,0,0,5,,6.020,0.0,59.033
pork20C_G29,20.142,spoiled,strong_pungent,6.12,0,19.8,49.2,989.6,40945,3,0,7,0,0,5,,6.080,0.0,59.085
pork20C_G29,20.792,spoiled,strong_pungent,6.18,0,19.8,49.2,989.6,41175,3,0,7,0,0,5,,6.140,0.0,58.855
pork20C_G29,21.344,spoiled,strong_pungent,6.31,0,19.9,49.2,989.6,41252,3,0,7,0,0,5,,6.270,0.0,58.778
pork20C_G29,21.986,spoiled,strong_pungent,6.07,0,19.8,49.2,989.6,42025,3,0,7,0,0,5,,6.030,0.0,58.005
pork20C_G29,22.750,spoiled,strong_pungent,6.07,0,19.8,49.2,989.6,42093,3,0,7,0,0,5,,6.030,0.0,57.937
pork20C_G29,23.320,spoiled,strong_pungent,5.93,0,19.9,49.3,989.6,42220,2,0,7,0,0,5,,5.890,0.0,57.811
pork20C_G29,24.042,spoiled,strong_pungent,5.84,0,19.9,49.2,989.6,42270,2,0,7,0,0,5,,5.800,0.0,57.761
pork20C_G29,24.829,spoiled,strong_pungent,5.92,0,19.9,49.1,989.6,42921,2,0,7,0,0,5,,5.880,0.0,57.110
pork20C_G29,25.373,spoiled,strong_pungent,5.92,0,19.9,49.1,989.6,42562,2,0,7,0,0,5,,5.880,0.0,57.469
pork20C_G29,26.097,spoiled,strong_pungent,6.00,0,19.9,49.1,989.6,42335,2,0,7,0,0,5,,5.960,0.0,57.696
pork20C_G29,26.841,spoiled,strong_pungent,6.13,0,19.9,49.2,989.6,42925,3,0,7,0,0,5,,6.090,0.0,57.106
pork20C_G29,27.516,spoiled,strong_pungent,6.23,0,19.9,49.2,989.6,42357,3,0,7,0,0,5,,6.190,0.0,57.674
pork20C_G29,28.414,spoiled,strong_pungent,6.20,0,19.9,49.2,989.6,41986,3,0,7,0,0,5,,6.160,0.0,58.044
pork20C_G29,29.061,spoiled,strong_pungent,6.15,0,19.9,49.3,989.6,42304,3,0,7,0,0,5,,6.110,0.0,57.727
pork20C_G29,29.911,spoiled,strong_pungent,6.13,0,19.9,49.2,989.6,42571,3,0,7,0,0,5,,6.090,0.0,57.460
pork20C_G29,30.671,spoiled,strong_pungent,6.26,0,19.9,49.3,989.6,43013,3,0,7,0,0,5,,6.220,0.0,57.018
pork20C_G29,31.283,spoiled,strong_pungent,6.30,0,20.0,49.4,989.6,43733,3,0,7,0,0,5,,6.260,0.0,56.299
pork20C_G29,31.832,spoiled,strong_pungent,6.25,0,19.9,49.4,989.6,43582,3,0,7,0,0,5,,6.210,0.0,56.450
pork20C_G29,32.552,spoiled,strong_pungent,6.23,0,20.0,49.5,989.6,43915,3,0,7,0,0,5,,6.190,0.0,56.117
pork20C_G29,33.148,spoiled,strong_pungent,6.25,0,20.0,49.4,989.6,43676,3,0,7,0,0,5,,6.210,0.0,56.356
