sample_id,elapsed_s,time_label,sensory_label,nh3_ppm,h2s_ppm,temperature,humidity,pressure,gas_resistance,s_nh3,s_h2s,s_bme,i_nh3,i_h2s,i_bme,note,nh3_delta,h2s_delta,gas_drop_pct
pork20C_G36,0.000,spoiled,strong_pungent,17.86,2,20.1,74.8,991.0,30922,7,2,8,2,0,4,,17.820,2.0,71.025
pork20C_G36,0.760,spoiled,strong_pungent,17.46,1,20.1,74.8,991.0,31162,7,1,8,3,0,4,,17.420,1.0,70.800
pork20C_G36,1.574,spoiled,strong_pungent,17.13,2,20.1,74.7,991.0,31734,7,2,8,2,0,4,,17.090,2.0,70.264
pork20C_G36,2.388,spoiled,strong_pungent,16.87,2,20.1,74.8,991.0,32479,7,2,8,2,0,4,,16.830,2.0,69.566
pork20C_G36,3.285,spoiled,strong_pungent,16.51,2,20.1,74.7,991.0,32954,6,2,8,2,0,4,,16.470,2.0,69.121
pork20C_G36,3.992,spoiled,strong_pungent,16.32,2,20.1,74.7,991.0,33186,6,2,8,2,0,4,,16.280,2.0,68.904
pork20C_G36,4.795,spoiled,strong_pungent,16.11,2,20.1,74.7,991.0,33769,6,2,8,2,0,4,,16.070,2.0,68.358
pork20C_G36,5.515,spoiled,strong_pungent,15.94,2,20.2,74.7,991.0,34368,6,2,8,2,0,4,,15.900,2.0,67.796
pork20C_G36,6.243,spoiled,strong_pungent,15.77,2,20.1,74.8,991.0,34230,6,2,8,2,0,4,,15.730,2.0,67.926
pork20C_G36,6.853,spoiled,strong_pungent,15.61,2,20.1,74.7,991.0,34370,6,2,8,2,0,4,,15.570,2.0,67.794
pork20C_G36,7.497,spoiled,strong_pungent,15.42,2,20.0,74.8,991.0,34423,6,2,8,2,0,4,,15.380,2.0,67.745
pork20C_G36,8.124,spoiled,strong_pungent,15.30,2,20.1,74.8,991.0,34836,6,2,8,2,0,4,,15.260,2.0,67.358
pork20C_G36,8.849,spoiled,strong_pungent,15.21,2,20.1,74.8,991.0,34543,6,2,8,2,0,4,,15.170,2.0,67.632
pork20C_G36,9.543,spoiled,strong_pungent,15.02,2,20.1,74.8,991.0,34712,5,2,8,2,0,4,,14.980,2.0,67.474
pork20C_G36,10.057,spoiled,strong_pungent,14.96,1,20.1,74.9,991.0,35289,5,1,8,2,0,4,,14.920,1.0,66.933
