sample_id,elapsed_s,time_label,sensory_label,nh3_ppm,h2s_ppm,temperature,humidity,pressure,gas_resistance,s_nh3,s_h2s,s_bme,i_nh3,i_h2s,i_bme,note,nh3_delta,h2s_delta,gas_drop_pct
pork20C_G04,0.000,air,none,0.07,0,20.2,58.9,988.9,105680,0,0,1,0,0,0,,0.030,0.0,2.270
pork20C_G04,0.676,air,none,0.03,0,20.2,58.9,988.9,105498,0,0,1,0,0,0,,-0.010,0.0,2.439
pork20C_G04,1.204,air,none,0.03,0,20.1,58.9,988.9,105366,0,0,1,0,0,0,,-0.010,0.0,2.561
pork20C_G04,1.854,air,none,0.09,0,20.1,58.9,988.9,106449,0,0,0,0,0,0,,0.050,0.0,1.559
pork20C_G04,2.624,air,none,0.07,0,20.1,58.9,988.9,107025,0,0,0,0,0,0,,0.030,0.0,1.027
pork20C_G04,3.271,air,none,0.08,0,20.1,58.9,988.9,106376,0,0,0,0,0,0,,0.040,0.0,1.627
pork20C_G04,4.136,air,none,0.10,0,20.1,58.9,988.9,106668,0,0,0,0,0,0,,0.060,0.0,1.357
pork20C_G04,5.014,air,none,0.10,0,20.1,58.9,988.9,107291,0,0,0,0,0,0,,0.060,0.0,0.781
pork20C_G04,5.830,air,none,0.07,0,20.2,58.9,988.9,106999,0,0,0,0,0,0,,0.030,0.0,1.051
pork20C_G04,6.523,air,none,0.04,0,20.2,59.0,988.9,107564,0,0,0,0,0,0,,0.000,0.0,0.528
pork20C_G04,7.276,air,none,0.05,0,20.2,59.0,988.9,106449,0,0,0,0,0,0,,0.010,0.0,1.559
pork20C_G04,7.976,air,none,0.06,0,20.2,59.1,988.9,106362,0,0,0,0,0,0,,0.020,0.0,1.640
pork20C_G04,8.492,air,none,0.09,0,20.2,59.1,988.9,106424,0,0,0,0,0,0,,0.050,0.0,1.582
pork20C_G04,9.385,air,none,0.08,0,20.1,59.2,988.9,106716,0,0,0,0,0,0,,0.040,0.0,1.312
pork20C_G04,10.279,air,none,0.05,0,20.1,59.2,988.9,106517,0,0,0,0,0,0,,0.010,0.0,1.496
pork20C_G04,11.005,air,none,0.08,0,20.2,59.3,988.9,107030,0,0,0,0,0,0,,0.040,0.0,1.022
pork20C_G04,11.638,air,none,0.10,0,20.2,59.4,988.9,106316,0,0,0,0,0,0,,0.060,0.0,1.682
pork20C_G04,12.283,air,none,0.09,0,20.1,59.5,988.9,106506,0,0,0,0,0,0,,0.050,0.0,1.507
pork20C_G04,12.973,air,none,0.09,0,20.1,59.6,988.9,106185,0,0,0,0,0,0,,0.050,0.0,1.803
pork20C_G04,13.764,air,none,0.07,0,20.1,59.6,989.0,106160,0,0,0,0,0,0,,0.030,0.0,1.826
pork20C_G04,14.256,air,none,0.09,0,20.2,59.6,989.0,106165,0,0,0,0,0,0,,0.050,0.0,1.822
