sample_id,elapsed_s,time_label,sensory_label,nh3_ppm,h2s_ppm,temperature,humidity,pressure,gas_resistance,s_nh3,s_h2s,s_bme,i_nh3,i_h2s,i_bme,note,nh3_delta,h2s_delta,gas_drop_pct
pork20C_G05,0.000,fresh,none,0.92,0,20.0,56.0,991.2,105725,1,0,0,0,0,0,,0.880,0.0,1.055
pork20C_G05,0.656,fresh,none,1.04,0,20.1,55.9,991.2,106023,1,0,0,0,0,0,,1.000,0.0,0.776
pork20C_G05,1.360,fresh,none,1.07,0,20.1,55.9,991.2,105923,1,0,0,0,0,0,,1.030,0.0,0.870
pork20C_G05,2.162,fresh,none,1.09,0,20.1,55.8,991.2,105781,1,0,0,0,0,0,,1.050,0.0,1.003
pork20C_G05,2.937,fresh,none,1.03,0,20.0,55.8,991.2,105895,1,0,0,0,0,0,,0.990,0.0,0.896
pork20C_G05,3.813,fresh,none,1.01,0,20.0,55.8,991.2,105904,1,0,0,0,0,0,,0.970,0.0,0.888
pork20C_G05,4.707,fresh,none,1.01,0,20.0,55.8,991.2,105678,1,0,0,0,0,0,,0.970,0.0,1.099
pork20C_G05,5.294,fresh,none,1.04,0,20.1,55.7,991.2,105199,1,0,0,0,0,0,,1.000,0.0,1.547
pork20C_G05,5.912,fresh,none,1.02,0,20.1,55.7,991.2,105258,1,0,0,0,0,0,,0.980,0.0,1.492
pork20C_G05,6.627,fresh,none,0.87,0,20.1,55.7,991.2,105599,1,0,0,0,0,0,,0.830,0.0,1.173
pork20C_G05,7.531,fresh,none,1.01,0,20.1,55.8,991.2,105402,1,0,0,0,0,0,,0.970,0.0,1.357
pork20C_G05,8.369,fresh,none,1.11,0,20.0,55.7,991.2,105672,1,0,0,0,0,0,,1.070,0.0,1.105
pork20C_G05,9.275,fresh,none,1.07,0,20.0,55.8,991.2,105710,1,0,0,0,0,0,,1.030,0.0,1.069
pork20C_G05,10.020,fresh,none,1.26,0,20.0,55.8,991.2,105336,1,0,0,0,0,0,,1.220,0.0,1.419
pork20C_G05,10.926,fresh,none,1.14,0,20.0,55.8,991.2,105585,1,0,0,0,0,0,,1.100,0.0,1.186
pork20C_G05,11.645,fresh,none,1.23,0,20.1,55.8,991.2,105702,1,0,0,0,0,0,,1.190,0.0,1.077
pork20C_G05,12.472,fresh,none,1.18,0,20.1,55.8,991.2,105753,1,0,0,0,0,0,,1.140,0.0,1.029
pork20C_G05,13.114,fresh,none,1.06,0,20.1,55.8,991.2,105704,1,0,0,0,0,0,,1.020,0.0,1.075
pork20C_G05,13.788,fresh,none,1.05,0,20.1,55.8,991.2,105596,1,0,0,0,0,0,,1.010,0.0,1.176
pork20C_G05,14.407,fresh,none,1.03,0,20.1,55.9,991.2,105457,1,0,0,0,0,0,,0.990,0.0,1.306
pork20C_G05,14.995,fresh,none,1.06,0,20.1,55.9,991.2,105480,1,0,0,0,0,0,,1.020,0.0,1.284
pork20C_G05,15.756,fresh,none,1.12,0,20.1,56.0,991.2,105367,1,0,0,0,0,0,,1.080,0.0,1.390
pork20C_G05,16.441,fresh,none,1.03,0,20.1,56.0,991.2,105419,1,0,0,0,0,0,,0.990,0.0,1.342
pork20C_G05,17.243,fresh,none,1.02,0,20.1,56.1,991.2,105370,1,0,0,0,0,0,,0.980,0.0,1.387
pork20C_G05,18.010,fresh,none,0.96,0,20.0,56.1,991.2,105365,1,0,0,0,0,0,,0.920,0.0,1.392
pork20C_G05,18.688,fresh,none,0.93,0,20.0,56.1,991.2,105424,1,0,0,0,0,0,,0.890,0.0,1.337
pork20C_G05,19.414,fresh,none,1.07,0,20.1,56.2,991.2,105475,1,0,0,0,0,0,,1.030,0.0,1.289
pork20C_G05,20.184,fresh,none,1.19,0,20.1,56.3,991.2,105486,1,0,0,0,0,0,,1.150,0.0,1.279
pork20C_G05,20.877,fresh,none,1.23,0,20.1,56.3,991.2,105432,1,0,0,0,0,0,,1.190,0.0,1.329
pork20C_G05,21.484,fresh,none,1.10,0,20.1,56.3,991.2,105428,1,0,0,0,0,0,,1.060,0.0,1.333
pork20C_G05,22.147,fresh,none,1.12,0,20.1,56.4,991.2,105288,1,0,0,0,0,0,,1.080,0.0,1.464
pork20C_G05,22.753,fresh,none,1.07,0,20.1,56.4,991.2,105394,1,0,0,0,0,0,,1.030,0.0,1.365
pork20C_G05,23.501,fresh,none,1.04,0,20.1,56.5,991.2,105248,1,0,0,0,0,0,,1.000,0.0,1.502
pork20C_G05,24.122,fresh,none,1.15,0,20.1,56.5,991.2,105267,1,0,0,0,0,0,,1.110,0.0,1.484
pork20C_G05,24.895,fresh,none,1.22,0,20.1,56.6,991.2,105119,1,0,0,0,0,0,,1.180,0.0,1.622
pork20C_G05,25.709,fresh,none,1.15,0,20.1,56.7,991.2,105331,1,0,0,0,0,0,,1.110,0.0,1.424
pork20C_G05,26.217,fresh,none,1.21,0,20.1,56.8,991.2,105425,1,0,0,0,0,0,,1.170,0.0,1.336
pork20C_G05,26.977,fresh,none,1.14,0,20.1,56.8,991.2,105489,1,0,0,0,0,0,,1.100,0.0,1.276
pork20C_G05,27.839,fresh,none,1.01,0,20.1,56.8,991.2,105761,1,0,0,0,0,0,,0.970,0.0,1.021
pork20C_G05,28.645,fresh,none,1.01,0,20.1,56.8,991.2,105667,1,0,0,0,0,0,,0.970,0.0,1.109
pork20C_G05,29.351,fresh,none,1.18,0,20.1,57.0,991.2,105502,1,0,0,0,0,0,,1.140,0.0,1.264
pork20C_G05,29.928,fresh,none,1.27,0,20.1,57.0,991.2,105410,1,0,0,0,0,0,,1.230,0.0,1.350
pork20C_G05,30.646,fresh,none,1.32,0,20.1,57.0,991.2,105390,1,0,0,0,0,0,,1.280,0.0,1.369
pork20C_G05,31.385,fresh,none,1.19,0,20.1,57.1,991.2,105425,1,0,0,0,0,0,,1.150,0.0,1.336
pork20C_G05,31.983,fresh,none,1.26,0,20.1,57.2,991.2,105434,1,0,0,0,0,0,,1.220,0.0,1.328
pork20C_G05,32.671,fresh,none,1.21,0,20.1,57.2,991.2,105387,1,0,0,0,0,0,,1.170,0.0,1.371
