sample_id,elapsed_s,time_label,sensory_label,nh3_ppm,h2s_ppm,temperature,humidity,pressure,gas_resistance,s_nh3,s_h2s,s_bme,i_nh3,i_h2s,i_bme,note,nh3_delta,h2s_delta,gas_drop_pct
pork20C_G37,0.000,spoiled,strong_pungent,13.77,1,19.8,57.5,990.0,1015,5,1,10,0,0,8,,13.730,1.0,99.100
pork20C_G37,0.797,spoiled,strong_pungent,13.68,2,19.8,57.5,990.0,1015,5,2,10,0,0,7,,13.640,2.0,99.100
pork20C_G37,1.577,spoiled,strong_pungent,13.63,2,19.9,57.5,990.0,1015,5,2,10,0,0,7,,13.590,2.0,99.100
pork20C_G37,2.239,spoiled,strong_pungent,13.53,2,19.9,57.4,990.0,1015,5,2,10,0,0,7,,13.490,2.0,99.100
pork20C_G37,3.087,spoiled,strong_pungent,13.50,2,19.9,57.4,990.0,1015,5,2,10,0,0,7,,13.460,2.0,99.100
pork20C_G37,3.905,spoiled,strong_pungent,13.47,2,19.8,57.4,990.0,1015,5,2,10,0,0,7,,13.430,2.0,99.100
pork20C_G37,4.752,spoiled,strong_pungent,13.40,2,19.8,57.4,990.0,1015,5,2,10,0,0,7,,13.360,2.0,99.100
pork20C_G37,5.582,spoiled,strong_pungent,13.35,2,19.8,57.4,990.0,1015,5,2,10,0,0,7,,13.310,2.0,99.100
pork20C_G37,6.412,spoiled,strong_pungent,13.27,2,19.9,57.4,990.0,1015,5,2,10,0,0,7,,13.230,2.0,99.100
pork20C_G37,7.132,spoiled,strong_pungent,13.21,2,19.8,57.5,990.0,1015,5,2,10,0,0,7,,13.170,2.0,99.100
pork20C_G37,7.893,spoiled,strong_pungent,13.18,2,19.9,57.4,990.0,1015,5,2,10,0,0,7,,13.140,2.0,99.100
pork20C_G37,8.947,spoiled,strong_pungent,13.13,2,19.9,57.3,990.0,1015,5,2,10,0,0,7,,13.090,2.0,99.100
pork20C_G37,9.596,spoiled,strong_pungent,13.11,1,19.9,57.3,990.0,1015,5,1,10,0,0,8,,13.070,1.0,99.100
pork20C_G37,10.434,spoiled,strong_pungent,13.08,2,19.9,57.2,990.0,1015,5,2,10,0,0,7,,13.040,2.0,99.100
pork20C_G37,11.385,spoiled,strong_pungent,12.99,2,19.9,57.1,990.0,1015,5,2,10,0,0,7,,12.950,2.0,99.100
pork20C_G37,12.133,spoiled,strong_pungent,12.91,2,19.8,57.1,990.0,1015,5,2,10,0,0,7,,12.870,2.0,99.100
pork20C_G37,12.908,spoiled,strong_pungent,12.89,2,19.8,57.1,990.0,1015,5,2,10,0,0,7,,12.850,2.0,99.100
pork20C_G37,13.625,spoiled,strong_pungent,12.86,2,19.8,57.1,990.0,1015,5,2,10,0,0,7,,12.820,2.0,99.100
pork20C_G37,14.474,spoiled,strong_pungent,12.80,2,19.9,57.1,990.0,1015,5,2,10,0,0,7,,12.760,2.0,99.100
pork20C_G37,15.039,spoiled,strong_pungent,12.75,2,19.9,57.0,990.0,1015,5,2,10,0,0,7,,12.710,2.0,99.100
pork20C_G37,15.856,spoiled,strong_pungent,12.80,2,20.0,57.1,990.0,1015,5,2,10,0,0,7,,12.760,2.0,99.100
pork20C_G37,16.864,spoiled,strong_pungent,12.69,2,20.0,57.0,990.0,1218,5,2,10,0,0,7,,12.650,2.0,98.920
pork20C_G37,17.663,spoiled,strong_pungent,12.70,1,19.9,57.0,990.0,1488,5,1,10,0,0,8,,12.660,1.0,98.680
pork20C_G37,18.369,spoiled,strong_pungent,12.67,2,19.9,57.0,990.0,1577,5,2,10,0,0,7,,12.630,2.0,98.601
pork20C_G37,19.294,spoiled,strong_pungent,12.67,2,19.8,57.0,990.0,1572,5,2,10,0,0,7,,12.630,2.0,98.606
pork20C_G37,20.087,spoiled,strong_pungent,12.68,2,19.8,57.0,990.0,1089,5,2,10,0,0,7,,12.640,2.0,99.034
pork20C_G37,20.847,spoiled,strong_pungent,12.62,2,19.8,56.9,990.0,1613,5,2,10,0,0,7,,12.580,2.0,98.569
pork20C_G37,21.896,spoiled,strong_pungent,12.60,2,19.8,57.1,990.0,1574,5,2,10,0,0,7,,12.560,2.0,98.604
pork20C_G37,22.785,spoiled,strong_pungent,12.57,2,19.9,57.1,990.0,1341,5,2,10,0,0,7,,12.530,2.0,98.810
pork20C_G37,23.951,spoiled,strong_pungent,12.52,2,19.9,57.0,990.0,1263,5,2,10,0,0,7,,12.480,2.0,98.880
pork20C_G37,24.642,spoiled,strong_pungent,12.46,2,19.9,57.1,990.0,1593,5,2,10,0,0,7,,12.420,2.0,98.587
pork20C_G37,25.620,spoiled,strong_pungent,12.42,2,19.9,57.1,990.0,1066,5,2,10,0,0,7,,12.380,2.0,99.054
pork20C_G37,26.649,spoiled,strong_pungent,12.45,1,19.9,57.1,990.0,1090,5,1,10,0,0,8,,12.410,1.0,99.033
pork20C_G37,27.433,spoiled,strong_pungent,12.44,2,19.9,57.1,990.0,1536,5,2,10,0,0,7,,12.400,2.0,98.637
pork20C_G37,28.073,spoiled,strong_pungent,12.41,1,19.9,57.1,990.0,1518,5,1,10,0,0,8,,12.370,1.0,98.653
pork20C_G37,28.828,spoiled,strong_pungent,12.43,2,19.9,57.2,990.0,1548,5,2,10,0,0,7,,12.390,2.0,98.627
pork20C_G37,29.547,spoiled,strong_pungent,12.46,1,19.9,57.2,990.0,1119,5,1,10,0,0,8,,12.420,1.0,99.007
pork20C_G37,30.491,spoiled,strong_pungent,12.43,2,19.9,57.3,990.0,1108,5,2,10,0,0,7,,12.390,2.0,99.017
pork20C_G37,31.195,spoiled,strong_pungent,12.42,1,19.8,57.4,990.0,1025,5,1,10,0,0,8,,12.380,1.0,99.091
pork20C_G37,32.067,spoiled,strong_pungent,12.39,2,19.8,57.4,990.0,1019,5,2,10,0,0,7,,12.350,2.0,99.096
pork20C_G37,32.716,spoiled,strong_pungent,12.39,2,19.9,57.4,990.0,1342,5,2,10,0,0,7,,12.350,2.0,98.810
pork20C_G37,33.766,spoiled,strong_pungent,12.43,2,19.9,57.5,990.0,1315,5,2,10,0,0,7,,12.390,2.0,98.834
pork20C_G37,34.463,spoiled,strong_pungent,12.39,2,19.9,57.4,990.0,1433,5,2,10,0,0,7,,12.350,2.0,98.729
pork20C_G37,35.580,spoiled,strong_pungent,12.33,2,19.9,57.4,990.0,1015,5,2,10,0,0,7,,12.290,2.0,99.100
pork20C_G37,36.232,spoiled,strong_pungent,12.36,2,19.9,57.4,990.0,1015,5,2,10,0,0,7,,12.320,2.0,99.100
pork20C_G37,37.110,spoiled,strong_pungent,12.32,2,19.9,57.4,990.0,1015,5,2,10,0,0,7,,12.280,2.0,99.100
pork20C_G37,37.818,spoiled,strong_pungent,12.30,2,19.8,57.4,990.0,1129,5,2,10,0,0,7,,12.260,2.0,98.999
pork20C_G37,38.601,spoiled,strong_pungent,12.31,2,19.9,57.5,990.0,1245,5,2,10,0,0,7,,12.270,2.0,98.896
pork20C_G37,39.274,spoiled,strong_pungent,12.26,1,19.8,57.6,990.0,1501,5,1,10,0,0,8,,12.220,1.0,98.669
pork20C_G37,40.145,spoiled,strong_pungent,12.23,2,19.8,57.6,990.0,1437,5,2,10,0,0,7,,12.190,2.0,98.725
pork20C_G37,41.049,spoiled,strong_pungent,12.28,2,19.7,57.7,990.0,1147,5,2,10,0,0,7,,12.240,2.0,98.983
pork20C_G37,42.013,spoiled,strong_pungent,12.25,2,19.8,57.8,990.0,1015,5,2,10,0,0,7,,12.210,2.0,99.100
