sample_id,elapsed_s,time_label,sensory_label,nh3_ppm,h2s_ppm,temperature,humidity,pressure,gas_resistance,s_nh3,s_h2s,s_bme,i_nh3,i_h2s,i_bme,note,nh3_delta,h2s_delta,gas_drop_pct
pork20C_G22,0.000,early_spoilage,slight_sour,4.77,0,19.6,54.9,992.3,45151,2,0,7,0,0,5,,4.730,0.0,58.484
pork20C_G22,0.655,early_spoilage,slight_sour,4.76,0,19.6,54.9,992.3,45077,2,0,7,0,0,5,,4.720,0.0,58.552
pork20C_G22,1.521,early_spoilage,slight_sour,4.58,0,19.6,54.7,992.2,45417,2,0,7,0,0,5,,4.540,0.0,58.239
pork20C_G22,2.470,early_spoilage,slight_sour,4.87,0,19.6,54.6,992.2,45301,2,0,7,0,0,5,,4.830,0.0,58.346
pork20C_G22,3.107,early_spoilage,slight_sour,4.61,0,19.6,54.6,992.2,45461,2,0,7,0,0,5,,4.570,0.0,58.199
pork20C_G22,3.790,early_spoilage,slight_sour,4.61,0,19.6,54.5,992.2,45643,2,0,7,0,0,5,,4.570,0.0,58.031
pork20C_G22,4.522,early_spoilage,slight_sour,4.91,0,19.5,54.4,992.2,45857,2,0,7,0,0,5,,4.870,0.0,57.835
pork20C_G22,5.530,early_spoilage,slight_sour,5.13,0,19.5,54.4,992.2,46122,2,0,7,0,0,5,,5.090,0.0,57.591
pork20C_G22,6.298,early_spoilage,slight_sour,4.87,0,19.6,54.4,992.2,46183,2,0,7,0,0,5,,4.830,0.0,57.535
pork20C_G22,6.995,early_spoilage,slight_sour,4.88,0,19.5,54.3,992.2,46104,2,0,7,0,0,5,,4.840,0.0,57.608
pork20C_G22,7.860,early_spoilage,slight_sour,4.57,0,19.6,54.3,992.2,46060,2,0,7,0,0,5,,4.530,0.0,57.648
pork20C_G22,8.727,early_spoilage,slight_sour,4.62,0,19.7,54.2,992.2,46081,2,0,7,0,0,5,,4.580,0.0,57.629
pork20C_G22,9.495,early_spoilage,slight_sour,4.59,0,19.6,54.3,992.2,45982,2,0,7,0,0,5,,4.550,0.0,57.720
pork20C_G22,10.269,early_spoilage,slight_sour,4.59,0,19.5,54.1,992.2,46382,2,0,7,0,0,5,,4.550,0.0,57.352
pork20C_G22,11.298,early_spoilage,slight_sour,4.50,0,19.6,54.1,992.2,46662,2,0,7,0,0,5,,4.460,0.0,57.094
pork20C_G22,11.921,early_spoilage,slight_sour,4.52,0,19.6,54.2,992.2,46719,2,0,7,0,0,5,,4.480,0.0,57.042
pork20C_G22,12.536,early_spoilage,slight_sour,4.74,0,19.6,54.2,992.2,46977,2,0,7,0,0,5,,4.700,0.0,56.805
pork20C_G22,13.284,early_spoilage,slight_sour,4.84,0,19.6,54.2,992.2,47021,2,0,7,0,0,5,,4.800,0.0,56.764
pork20C_G22,13.991,early_spoilage,slight_sour,4.72,0,19.7,54.2,992.2,47163,2,0,7,0,0,5,,4.680,0.0,56.634
pork20C_G22,14.744,early_spoilage,slight_sour,4.67,0,19.7,54.2,992.2,47057,2,0,7,0,0,5,,4.630,0.0,56.731
pork20C_G22,15.573,early_spoilage,slight_sour,4.45,0,19.7,54.4,992.2,46888,2,0,7,0,0,5,,4.410,0.0,56.887
pork20C_G22,16.387,early_spoilage,slight_sour,4.64,0,19.7,54.3,992.2,46897,2,0,7,0,0,5,,4.600,0.0,56.878
pork20C_G22,16.991,early_spoilage,slight_sour,4.46,0,19.7,54.4,992.2,46955,2,0,7,0,0,5,,4.420,0.0,56.825
pork20C_G22,17.783,early_spoilage,slight_sour,4.30,0,19.7,54.4,992.2,47122,2,0,7,0,0,5,,4.260,0.0,56.672
pork20C_G22,18.678,early_spoilage,slight_sour,4.29,0,19.7,54.4,992.2,47045,2,0,7,0,0,5,,4.250,0.0,56.742
pork20C_G22,19.427,early_spoilage,slight_sour,4.29,0,19.7,54.3,992.3,46832,2,0,7,0,0,5,,4.250,0.0,56.938
pork20C_G22,20.226,early_spoilage,slight_sour,4.22,0,19.7,54.4,992.3,46988,2,0,7,0,0,5,,4.180,0.0,56.795
pork20C_G22,21.006,early_spoilage,slight_sour,4.50,0,19.7,54.4,992.3,47131,2,0,7,0,0,5,,4.460,0.0,56.663
pork20C_G22,21.674,early_spoilage,slight_sour,4.58,0,19.7,54.5,992.3,47229,2,0,7,0,0,5,,4.540,0.0,56.573
pork20C_G22,22.460,early_spoilage,slight_sour,4.45,0,19.7,54.5,992.3,46934,2,0,7,0,0,5,,4.410,0.0,56.844
