sample_id,elapsed_s,time_label,sensory_label,nh3_ppm,h2s_ppm,temperature,humidity,pressure,gas_resistance,s_nh3,s_h2s,s_bme,i_nh3,i_h2s,i_bme,note,nh3_delta,h2s_delta,gas_drop_pct
pork20C_G25,0.000,early_spoilage,slight_sour,4.92,0,20.4,52.0,990.3,31898,2,0,8,0,0,6,,4.880,0.0,70.974
pork20C_G25,0.742,early_spoilage,slight_sour,4.72,0,20.4,51.9,990.3,30557,2,0,9,0,0,6,,4.680,0.0,72.194
pork20C_G25,1.358,early_spoilage,slight_sour,4.72,0,20.4,51.8,990.3,29494,2,0,9,0,0,7,,4.680,0.0,73.161
pork20C_G25,2.052,early_spoilage,slight_sour,4.78,0,20.4,51.8,990.3,28115,2,0,9,0,0,7,,4.740,0.0,74.416
pork20C_G25,2.697,early_spoilage,slight_sour,4.68,0,20.4,51.7,990.3,27147,2,0,9,0,0,7,,4.640,0.0,75.297
pork20C_G25,3.378,early_spoilage,slight_sour,4.49,0,20.3,51.7,990.3,26642,2,0,9,0,0,7,,4.450,0.0,75.756
pork20C_G25,3.957,early_spoilage,slight_sour,4.52,0,20.4,51.7,990.3,26311,2,0,9,0,0,7,,4.480,0.0,76.058
pork20C_G25,4.747,early_spoilage,slight_sour,4.53,0,20.4,51.6,990.3,25932,2,0,9,0,0,7,,4.490,0.0,76.403
pork20C_G25,5.367,early_spoilage,slight_sour,4.68,0,20.3,51.6,990.3,25130,2,0,9,0,0,7,,4.640,0.0,77.132
pork20C_G25,6.251,early_spoilage,slight_sour,4.84,0,20.3,51.6,990.3,24906,2,0,9,0,0,7,,4.800,0.0,77.336
pork20C_G25,7.132,early_spoilage,slight_sour,4.84,0,20.3,51.6,990.3,25214,2,0,9,0,0,7,,4.800,0.0,77.056
pork20C_G25,7.849,early_spoilage,slight_sour,4.91,0,20.4,51.7,990.3,24892,2,0,9,0,0,7,,4.870,0.0,77.349
pork20C_G25,8.620,early_spoilage,slight_sour,5.01,0,20.4,51.7,990.3,24128,2,0,9,0,0,7,,4.970,0.0,78.044
pork20C_G25,9.175,early_spoilage,slight_sour,4.89,0,20.3,51.6,990.3,23261,2,0,9,0,0,7,,4.850,0.0,78.833
pork20C_G25,9.811,early_spoilage,slight_sour,5.01,0,20.3,51.6,990.3,23529,2,0,9,0,0,7,,4.970,0.0,78.589
pork20C_G25,10.504,early_spoilage,slight_sour,5.14,0,20.4,51.6,990.3,22918,2,0,9,0,0,7,,5.100,0.0,79.145
pork20C_G25,11.292,early_spoilage,slight_sour,5.35,0,20.4,51.6,990.3,22847,2,0,9,0,0,7,,5.310,0.0,79.210
pork20C_G25,11.945,early_spoilage,slight_sour,5.30,0,20.4,51.4,990.3,22764,2,0,9,0,0,7,,5.260,0.0,79.285
pork20C_G25,12.742,early_spoilage,slight_sour,5.14,0,20.3,51.4,990.3,22482,2,0,9,0,0,7,,5.100,0.0,79.542
pork20C_G25,13.471,early_spoilage,slight_sour,5.04,0,20.3,51.4,990.3,22648,2,0,9,0,0,7,,5.000,0.0,79.391
pork20C_G25,14.257,early_spoilage,slight_sour,5.18,0,20.4,51.4,990.3,22743,2,0,9,0,0,7,,5.140,0.0,79.304
pork20C_G25,14.824,early_spoilage,slight_sour,5.19,0,20.3,51.3,990.3,22974,2,0,9,0,0,7,,5.150,0.0,79.094
pork20C_G25,15.670,early_spoilage,slight_sour,5.24,0,20.3,51.3,990.3,22218,2,0,9,0,0,7,,5.200,0.0,79.782
