sample_id,elapsed_s,time_label,sensory_label,nh3_ppm,h2s_ppm,temperature,humidity,pressure,gas_resistance,s_nh3,s_h2s,s_bme,i_nh3,i_h2s,i_bme,note,nh3_delta,h2s_delta,gas_drop_pct
pork20C_G09,0.000,air,none,0.73,0,20.1,69.9,991.9,109313,1,0,0,0,0,0,,0.690,0.0,0.000
pork20C_G09,0.753,air,none,0.71,0,20.2,69.9,991.9,109313,1,0,0,0,0,0,,0.670,0.0,0.000
pork20C_G09,1.525,air,none,0.71,0,20.2,69.9,991.9,109313,1,0,0,0,0,0,,0.670,0.0,0.000
pork20C_G09,2.285,air,none,0.63,0,20.2,69.9,991.9,109313,0,0,0,0,0,0,,0.590,0.0,0.000
pork20C_G09,3.129,air,none,0.63,0,20.1,69.8,991.9,109313,0,0,0,0,0,0,,0.590,0.0,0.000
pork20C_G09,3.699,air,none,0.67,0,20.1,69.9,991.9,109313,1,0,0,0,0,0,,0.630,0.0,0.000
pork20C_G09,4.360,air,none,0.72,0,20.1,69.9,991.9,109313,1,0,0,0,0,0,,0.680,0.0,0.000
pork20C_G09,5.064,air,none,0.70,0,20.1,69.9,991.9,109313,1,0,0,0,0,0,,0.660,0.0,0.000
pork20C_G09,5.758,air,none,0.73,0,20.1,69.9,991.9,109313,1,0,0,0,0,0,,0.690,0.0,0.000
pork20C_G09,6.335,air,none,0.74,0,20.2,69.8,991.9,109313,1,0,0,0,0,0,,0.700,0.0,0.000
pork20C_G09,7.116,air,none,0.71,0,20.2,69.9,991.9,109313,1,0,0,0,0,0,,0.670,0.0,0.000
pork20C_G09,7.805,air,none,0.65,0,20.2,70.0,991.9,109313,1,0,0,0,0,0,,0.610,0.0,0.000
pork20C_G09,8.367,air,none,0.66,0,20.2,70.0,991.9,109313,1,0,0,0,0,0,,0.620,0.0,0.000
pork20C_G09,9.202,air,none,0.62,0,20.1,70.0,991.9,109313,0,0,0,0,0,0,,0.580,0.0,0.000
pork20C_G09,10.038,air,none,0.66,0,20.1,70.0,991.9,109313,1,0,0,0,0,0,,0.620,0.0,0.000
pork20C_G09,10.827,air,none,0.63,0,20.1,70.0,991.9,109313,0,0,0,0,0,0,,0.590,0.0,0.000
pork20C_G09,11.576,air,none,0.56,0,20.2,70.0,991.9,109313,0,0,0,0,0,0,,0.520,0.0,0.000
pork20C_G09,12.323,air,none,0.63,0,20.2,70.0,991.9,109313,0,0,0,0,0,0,,0.590,0.0,0.000
pork20C_G09,12.984,air,none,0.61,0,20.1,70.1,991.9,109313,0,0,0,0,0,0,,0.570,0.0,0.000
pork20C_G09,13.606,air,none,0.62,0,20.1,70.1,991.9,109313,0,0,0,0,0,0,,0.580,0.0,0.000
pork20C_G09,14.406,air,none,0.62,0,20.1,70.2,991.9,109302,0,0,0,0,0,0,,0.580,0.0,0.010
